County,FIPS code,Population,Food Insecurity Rate,Number,% below 130% poverty,% between 130% and %185 poverty,% above 185% poverty,,,,,,,,
Scott,29201,38994,0.169,6590,0.6,0.18,0.22,,,,,187,187,St. Francois,24
Shannon,29203,8256,0.166,1370,0.65,0.11,0.25,,,,,189,189,St. Louis,21
Shelby,29205,6148,0.135,830,0.57,0.19,0.23,,,,,195,195,Saline,15
Stoddard,29207,29788,0.152,4530,0.55,0.2,0.25,,,,,197,197,Schuyler,1
Stone,29209,31197,0.135,4210,0.54,0.19,0.27,,,,,199,199,Scotland,1
Sullivan,29211,6416,0.114,730,0.59,0.29,0.12,,,,,201,201,Scott,33
Taney,29213,53853,0.163,8780,0.62,0.19,0.19,,,,,203,203,Shannon,37
Texas,29215,25690,0.174,4470,0.65,0.14,0.21,,,,,205,205,Shelby,41
Vernon,29217,20836,0.147,3060,0.61,0.23,0.16,,,,,207,207,Stoddard,35
Warren,29219,33290,0.122,4050,0.52,0.13,0.35,,,,,209,209,Stone,39
Washington,29221,25002,0.152,3810,0.65,0.18,0.17,,,,,211,211,Sullivan,9
Wayne,29223,13341,0.157,2100,0.7,0.16,0.14,,,,,213,213,Taney,38
Webster,29225,37075,0.145,5380,0.63,0.19,0.18,,,,,215,215,Texas,25
Worth,29227,2061,0.118,240,0.56,0.34,0.1,,,,,217,217,Vernon,28
Wright,29229,18378,0.173,3180,0.77,0.17,0.06,,,,,219,219,Warren,12
St. Louis (City),29510,316030,0.251,79320,0.63,0.14,0.22,,,,,221,221,Washington,24
State,29,6093000,0.147,896570,0.501,0.16,0.34,,,,,223,223,Wayne,42
,,,,,,,,,,,,225,225,Webster,30
,,,,,,,,,,,,227,227,Worth,4
,,,,,,,,,,,,229,229,Wright,44
,,,,,,,,,,,,510,510,St. Louis City,
